lr,epochs,batch_size,growth_rate,mean_accuracy,+-
0.0001,30,64,4,25.65,22.46
0.0001,30,64,8,28.50,20.74
0.0001,40,8,1,53.42,9.25
0.0001,40,8,2,50.05,0.11
0.0001,40,8,4,52.70,2.92
0.0001,40,8,8,50.00,0.46
0.0001,40,16,1,51.82,3.64
0.0001,40,16,2,49.27,1.09
0.0001,40,16,4,49.20,0.87
0.0001,40,16,8,50.62,0.67
0.0001,40,32,1,47.62,4.54
0.0001,40,32,2,51.75,1.77
0.0001,40,32,4,48.42,2.73
0.0001,40,32,8,49.50,0.54
0.0001,40,64,1,34.93,15.28
0.0001,40,64,2,16.55,19.32
0.0001,40,64,4,42.68,12.74
0.0001,40,64,8,28.62,18.79
0.0001,50,8,1,51.65,1.94
0.0001,50,8,2,49.77,0.51
0.0001,50,8,4,53.25,1.32
0.0001,50,8,8,52.20,2.44
0.0001,50,16,1,52.00,2.38
0.0001,50,16,2,53.90,4.52
0.0001,50,16,4,52.02,2.06
0.0001,50,16,8,50.85,1.47
0.0001,50,32,1,50.93,0.95
0.0001,50,32,2,50.18,0.85
0.0001,50,32,4,49.58,0.69
0.0001,50,32,8,49.75,0.33
0.0001,50,64,1,42.10,8.44
0.0001,50,64,2,46.33,3.74
0.0001,50,64,4,48.75,2.02
0.0001,50,64,8,49.10,2.27
0.0001,100,8,1,60.80,4.80
0.0001,100,8,2,60.00,6.58
0.0001,100,8,4,56.98,5.94
0.0001,100,8,8,56.10,3.27
0.0001,100,16,1,52.58,2.89
0.0001,100,16,2,50.75,2.53
0.0001,100,16,4,56.35,3.85
0.0001,100,16,8,52.17,7.17
0.0001,100,32,1,48.83,1.18
0.0001,100,32,2,50.15,0.38
0.0001,100,32,4,49.67,1.08
0.0001,100,32,8,50.12,0.22
0.0001,100,64,1,50.77,1.95
0.0001,100,64,2,50.00,0.00
0.0001,100,64,4,50.12,0.98
0.0001,100,64,8,49.58,0.77
0.0001,150,8,1,59.38,0.99
0.0001,150,8,2,60.10,4.09
0.0001,150,8,4,61.72,1.75
0.0001,150,8,8,59.30,4.31
0.0001,150,16,1,57.10,5.41
0.0001,150,16,2,56.30,3.93
0.0001,150,16,4,53.15,2.80
0.0001,150,16,8,54.48,4.92
0.0001,150,32,1,53.18,1.85
0.0001,150,32,2,52.33,2.29
0.0001,150,32,4,51.55,3.00
0.0001,150,32,8,49.12,1.32
0.0001,150,64,1,51.47,1.68
0.0001,150,64,2,52.73,2.89
0.0001,150,64,4,51.52,1.35
0.0001,150,64,8,51.12,2.07
0.0003,10,8,1,49.40,0.87
0.0003,10,8,2,50.70,1.84
0.0003,10,8,4,50.20,0.75
0.0003,10,8,8,50.92,1.17
0.0003,10,16,1,49.98,1.38
0.0003,10,16,2,49.67,0.78
0.0003,10,16,4,51.60,2.09
0.0003,10,16,8,48.30,3.17
0.0003,10,32,1,39.65,16.44
0.0003,10,32,2,36.10,20.86
0.0003,10,32,4,41.55,11.04
0.0003,10,32,8,28.10,18.83
0.0003,10,64,1,37.40,20.79
0.0003,10,64,2,12.45,14.66
0.0003,10,64,4,14.60,18.86
0.0003,10,64,8,20.40,20.16
0.0003,20,8,1,54.83,3.38
0.0003,20,8,2,51.35,3.03
0.0003,20,8,4,55.12,3.96
0.0003,20,8,8,51.60,1.84
0.0003,20,16,1,51.58,2.97
0.0003,20,16,2,50.17,0.30
0.0003,20,16,4,49.80,0.53
0.0003,20,16,8,53.40,3.56
0.0003,20,32,1,47.92,2.40
0.0003,20,32,2,48.42,6.60
0.0003,20,32,4,49.75,0.35
0.0003,20,32,8,50.23,0.25
0.0003,20,64,1,43.35,5.42
0.0003,20,64,2,32.27,15.83
0.0003,20,64,4,33.65,17.80
0.0003,20,64,8,49.05,3.20
0.0003,30,8,1,56.92,5.40
0.0003,30,8,2,57.72,1.24
0.0003,30,8,4,54.65,3.83
0.0003,30,8,8,59.27,5.38
0.0003,30,16,1,52.12,3.29
0.0003,30,16,2,51.73,2.99
0.0003,30,16,4,52.67,4.63
0.0003,30,16,8,51.25,2.28
0.0003,30,32,1,49.55,2.72
0.0003,30,32,2,50.00,4.91
0.0003,30,32,4,49.83,0.29
0.0003,30,32,8,51.67,1.94
0.0003,30,64,1,48.85,2.82
0.0003,30,64,2,51.05,1.13
0.0003,30,64,4,49.08,1.60
0.0003,30,64,8,39.90,16.75
0.0003,40,8,1,55.60,3.24
0.0003,40,8,2,56.35,3.74
0.0003,40,8,4,55.55,5.63
0.0003,40,8,8,56.92,4.19
0.0003,40,16,1,51.02,2.85
0.0003,40,16,2,50.20,0.49
0.0003,40,16,4,53.45,3.02
0.0003,40,16,8,52.47,3.73
0.0003,40,32,1,52.30,2.43
0.0003,40,32,2,50.08,0.64
0.0003,40,32,4,51.47,2.50
0.0003,40,32,8,52.75,3.31
0.0003,40,64,1,48.00,2.00
0.0003,40,64,2,48.52,2.02
0.0003,40,64,4,49.75,1.49
0.0003,40,64,8,51.68,1.06
0.0003,50,8,1,60.00,2.52
0.0003,50,8,2,59.55,5.49
0.0003,50,8,4,59.18,4.12
0.0003,50,8,8,56.25,3.57
0.0003,50,16,1,54.80,5.17
0.0003,50,16,2,54.45,3.50
0.0003,50,16,4,52.35,2.50
0.0003,50,16,8,52.88,4.49
0.0003,50,32,1,50.17,0.36
0.0003,50,32,2,51.07,1.63
0.0003,50,32,4,51.20,2.08
0.0003,50,32,8,50.00,1.13
0.0003,50,64,1,50.45,0.46
0.0003,50,64,2,51.73,1.25
0.0003,50,64,4,50.05,0.15
0.0003,50,64,8,51.47,1.43
0.0003,100,8,1,62.02,2.64
0.0003,100,8,2,62.33,1.57
0.0003,100,8,4,63.77,3.64
0.0003,100,8,8,61.82,1.11
0.0003,100,16,1,61.42,1.23
0.0003,100,16,2,59.97,3.86
0.0003,100,16,4,63.58,2.36
0.0003,100,16,8,59.08,5.88
0.0003,100,32,1,57.65,0.93
0.0003,100,32,2,54.92,3.48
0.0003,100,32,4,56.12,2.78
0.0003,100,32,8,54.70,3.44
0.0003,100,64,1,49.12,1.69
0.0003,100,64,2,51.15,1.88
0.0003,100,64,4,50.40,1.16
0.0003,100,64,8,51.25,2.77
0.0003,150,8,1,61.98,4.75
0.0003,150,8,2,62.95,3.24
0.0003,150,8,4,61.80,1.26
0.0003,150,8,8,64.55,2.22
0.0003,150,16,1,59.08,4.97
0.0003,150,16,2,61.05,1.88
0.0003,150,16,4,60.73,2.06
0.0003,150,16,8,61.30,5.71
0.0003,150,32,1,62.50,3.46
0.0003,150,32,2,60.27,4.23
0.0003,150,32,4,60.67,3.25
0.0003,150,32,8,57.10,3.11
0.0003,150,64,1,54.45,3.76
0.0003,150,64,2,53.53,3.09
0.0003,150,64,4,52.92,1.18
0.0003,150,64,8,51.62,4.21
0.0005,10,8,1,49.88,0.34
0.0005,10,8,2,53.12,4.85
0.0005,10,8,4,51.62,2.00
0.0005,10,8,8,50.47,0.40
0.0005,10,16,1,50.45,0.59
0.0005,10,16,2,49.25,0.82
0.0005,10,16,4,50.53,2.47
0.0005,10,16,8,50.10,0.23
0.0005,10,32,1,49.78,0.41
0.0005,10,32,2,51.02,1.74
0.0005,10,32,4,49.67,0.56
0.0005,10,32,8,53.38,4.45
